,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
165,30,2021-03-12 15:00:11,2021-03-12 15:05:16,Fachschule,16-17,11,männlich,5.0,4.0,5.0,1.0,4.0,egal,sehr wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,wichtig,wichtig,,Nachfragen einfacher;ruhigere Arbeitsumgebung als zuhause;Zusammenarbeit mit Mitschüler/innen einfacher;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,3.0,5.0,,
166,31,2021-03-12 15:37:01,2021-03-12 15:40:32,Fachschule,16-17,11,männlich,5.0,5.0,5.0,1.0,1.0,gar nicht wichtig,wichtig,egal,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,nicht wichtig,egal,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,5.0,,
167,32,2021-03-12 15:57:43,2021-03-12 16:01:53,HTL,18-20,11,weiblich,5.0,4.0,5.0,1.0,1.0,egal,egal,egal,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;,,2.0,5.0,,
168,33,2021-03-12 16:03:51,2021-03-12 16:08:05,Fachschule,18-20,12,männlich,1.0,3.0,5.0,2.0,3.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,wichtig,gar nicht wichtig,egal,wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,4.0,,
169,34,2021-03-12 16:44:56,2021-03-12 16:51:39,HTL,16-17,12,männlich,3.0,5.0,2.0,4.0,4.0,wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,egal,nicht wichtig,wichtig,wichtig,wichtig,egal,egal,egal,"Milde Stimmung zum Thema ""Sachen später abgeben"". Sehr oft können Schüler nicht rechtzeitig ihre Abgaben abgeben. Es ist das beste Gefühl, wenn der Lehrer nachsichtig ist und die Abgabe weiterhin offen für jene lässt, die die Abgabe auch wirklich nachbringen wollen.",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Sonstige;,Mit Freunden chillen,4.0,4.0,"Ich bevorzuge den Klassenraum, aber zuhause zu sein hat auch seine Daseinsberechtigung.",
170,35,2021-03-12 17:31:23,2021-03-12 17:33:51,Fachschule,14-15,12,männlich,3.0,5.0,5.0,2.0,4.0,wichtig,egal,sehr wichtig,wichtig,sehr wichtig,wichtig,egal,sehr wichtig,egal,nicht wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,5.0,4.0,,
171,36,2021-03-12 18:19:06,2021-03-12 18:24:02,Fachschule,14-15,9,männlich,4.0,5.0,5.0,3.0,1.0,egal,sehr wichtig,egal,sehr wichtig,wichtig,egal,nicht wichtig,sehr wichtig,egal,sehr wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,3.0,4.0,,
172,37,2021-03-12 19:29:51,2021-03-12 19:45:14,Fachschule,14-15,9,männlich,3.0,4.0,3.0,2.0,3.0,wichtig,wichtig,wichtig,wichtig,wichtig,egal,egal,wichtig,egal,egal,nicht wichtig,wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,4.0,,
173,38,2021-03-12 21:54:27,2021-03-12 21:58:55,HTL,18-20,11,männlich,2.0,3.0,5.0,2.0,3.0,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,gar nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,nicht wichtig,egal,egal,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,4.0,2.0,,
174,39,2021-03-12 21:59:56,2021-03-12 22:03:56,HTL,16-17,11,männlich,3.0,4.0,3.0,4.0,4.0,egal,sehr wichtig,egal,wichtig,sehr wichtig,nicht wichtig,egal,sehr wichtig,egal,egal,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,3.0,,
175,40,2021-03-12 23:55:50,2021-03-13 00:19:17,HTL,16-17,10,weiblich,3.0,5.0,5.0,3.0,4.0,nicht wichtig,egal,wichtig,wichtig,wichtig,egal,wichtig,sehr wichtig,nicht wichtig,wichtig,wichtig,egal,egal,"dass der Unterricht abwechslungreich gestaltet wird und die Schüler eingebunden werden. Plumpes Beispiel, Schüler sollen lange Texte auf Folien vorlesen, weil bei solchen die Aufmerksamkeit rasch schwindet. Aber dann Namen explizit nennen, weil sich oft die gleichen Schüler melden.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;,,1.0,3.0,,
176,41,2021-03-13 01:00:44,2021-03-13 01:08:34,HTL,16-17,11,männlich,3.0,5.0,4.0,5.0,5.0,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,gar nicht wichtig,egal,egal,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,In der Schule ist es viel einfacher sich zu konzentrieren. Zuhause lässt man sich sehr schnell ablenken.,3.0,4.0,,
177,42,2021-03-13 10:23:30,2021-03-13 10:29:15,HTL,16-17,11,weiblich,4.0,5.0,5.0,2.0,4.0,egal,wichtig,wichtig,sehr wichtig,wichtig,nicht wichtig,gar nicht wichtig,sehr wichtig,gar nicht wichtig,egal,wichtig,wichtig,wichtig,,Nachfragen einfacher;,,3.0,4.0,"Ich wäre für kompletten online Unterricht oder kompletten Unterricht im Klassenzimmer, da die jetzige Aufteilung sehr verwirrend und anstrengend ist. Wir haben nämlich jetzt Unterricht und noch genauso viele Arbeitsaufträge wodurch der Aufwand noch mehr erhöht wird.",
178,43,2021-03-13 10:29:33,2021-03-13 10:33:46,HTL,18-20,12,männlich,1.0,5.0,5.0,5.0,5.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,gar nicht wichtig,wichtig,egal,sehr wichtig,wichtig,Weniger Arbeitsaufträge und mehr Rücksicht in der schweren Situation ,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,Onlineunterricht sollte immer nur eine Notlösung sein und bitte bald aufhören!!,
179,44,2021-03-13 14:11:56,2021-03-13 14:18:58,HTL,18-20,12,weiblich,1.0,3.0,4.0,5.0,5.0,wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"Man kann sich besser konzentrieren, da man nicht durch andere Faktoren abgelenkt wird. ",1.0,1.0,Online Unterricht belastet mich viel mehr als normal- Unterricht in der Schule. Man hat kaum Freizeit mehr. Schulleben kann von der Freizeit nicht mehr getrennt werden. ,
180,45,2021-03-13 18:37:21,2021-03-13 18:39:33,HTL,16-17,12,weiblich,2.0,5.0,5.0,5.0,5.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,2.0,3.0,,
181,46,2021-03-13 19:06:06,2021-03-13 19:17:31,Fachschule,14-15,9,männlich,2.0,3.0,5.0,2.0,4.0,egal,sehr wichtig,wichtig,sehr wichtig,wichtig,nicht wichtig,nicht wichtig,wichtig,nicht wichtig,egal,egal,nicht wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;,,2.0,2.0,,
182,47,2021-03-13 19:30:41,2021-03-13 19:37:24,HTL,16-17,11,männlich,2.0,5.0,4.0,4.0,5.0,nicht wichtig,egal,wichtig,sehr wichtig,sehr wichtig,egal,egal,sehr wichtig,egal,egal,sehr wichtig,egal,egal,Qualität statt Quantität ,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,"Einfache Kommunikation zwischen Schueler und Lehrer auch n anderen Themen
",5.0,3.0,,
183,48,2021-03-13 20:37:37,2021-03-13 20:41:20,HTL,18-20,12,männlich,2.0,3.0,5.0,4.0,5.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,sehr wichtig,nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,Weniger Arbeitsaufträge,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,3.0,,
184,49,2021-03-14 10:10:56,2021-03-14 10:15:27,HTL,14-15,10,weiblich,4.0,5.0,5.0,3.0,4.0,wichtig,nicht wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,egal,sehr wichtig,egal,wichtig,nicht wichtig,sehr wichtig,sehr wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,3.0,,
185,50,2021-03-14 17:36:41,2021-03-14 17:49:45,HTL,16-17,10,weiblich,4.0,4.0,5.0,3.0,5.0,sehr wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,egal,sehr wichtig,sehr wichtig,wichtig,Essen ,Nachfragen einfacher;,,3.0,5.0,,
186,51,2021-03-14 17:36:19,2021-03-14 17:50:23,HTL,16-17,10,weiblich,4.0,4.0,5.0,2.0,3.0,sehr wichtig,egal,wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,egal,egal,sehr wichtig,sehr wichtig,wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,5.0,,
187,52,2021-03-14 19:12:33,2021-03-14 21:20:07,HTL,18-20,12,weiblich,1.0,3.0,3.0,5.0,4.0,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,wichtig,wichtig,"Wenn wir Diskussionen führen können, wenn wir auch teilweise über nicht schulische Themen sprechen und uns bisschen über unser Privatleben austauschen können; ",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"Bessere Kommunikation, man fühlt sich wohler, es macht mehr Spaß, man kann genauer auf die Themen eingehen, man merkt sich den Unterricht viel einfacher",1.0,1.0,"Der Onlineunterricht ist sehr belastend und ich habe das Gefühl, dass ich kaum was lerne. Das meiste in diesem Schuljahr mussten wir selbst lernen und haben teilweise kaum einen Input von den Lehrkräften bekommen.",
188,53,2021-03-15 08:15:07,2021-03-15 08:20:34,HTL,14-15,10,weiblich,1.0,3.0,5.0,4.0,5.0,egal,wichtig,wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,egal,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,,
189,54,2021-03-15 08:09:18,2021-03-15 08:24:42,Fachschule,14-15,9,männlich,3.0,5.0,5.0,4.0,3.0,egal,wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,egal,nicht wichtig,nicht wichtig,wichtig,egal,,Sonstige;,Mann kann seine Freunde sehen ,3.0,4.0,Es hätte seine vor und nachteile ,
190,55,2021-03-15 14:24:43,2021-03-15 14:28:12,HTL,18-20,11,männlich,2.0,5.0,2.0,5.0,5.0,gar nicht wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,1.0,,
191,56,2021-03-15 18:41:06,2021-03-15 18:44:45,HTL,16-17,11,männlich,2.0,4.0,5.0,3.0,5.0,wichtig,sehr wichtig,wichtig,sehr wichtig,egal,egal,egal,sehr wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;,,1.0,4.0,,
192,57,2021-03-15 19:52:47,2021-03-15 19:56:51,HTL,16-17,11,männlich,1.0,4.0,5.0,4.0,5.0,egal,egal,wichtig,sehr wichtig,sehr wichtig,wichtig,egal,sehr wichtig,egal,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,1.0,Einfach komplett Präsenz Unterricht oder Komplett online nicht einmal dies einmal dass mit 2 gruppen.,
193,58,2021-03-16 10:26:17,2021-03-16 10:31:29,HTL,14-15,9,männlich,2.0,4.0,5.0,4.0,4.0,egal,sehr wichtig,egal,sehr wichtig,nicht wichtig,egal,wichtig,sehr wichtig,egal,egal,egal,egal,egal,Wenn der Lehrer gut und ausführlich erklärt.  ,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,2.0,,
194,1,2021-03-12 14:28:36,2021-03-12 14:33:28,Fachschule,16-17,10,männlich,3.0,3.0,2.0,4.0,4.0,egal,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,egal,egal,wichtig,egal,egal,B,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,B,5.0,2.0,"B
",bautechnikum
195,2,2021-03-12 14:28:49,2021-03-12 14:33:43,Fachschule,16-17,11,männlich,2.0,3.0,5.0,4.0,3.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,wichtig,egal,egal,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,1.0,,bautechnikum
196,3,2021-03-12 14:29:09,2021-03-12 14:34:18,Fachschule,16-17,11,weiblich,4.0,4.0,2.0,2.0,3.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,nicht wichtig,wichtig,wichtig,wichtig,Gute Stimmung ,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,Verständlicher,4.0,4.0,Nix,bautechnikum
197,4,2021-03-12 14:28:29,2021-03-12 14:34:23,Fachschule,16-17,11,männlich,3.0,4.0,5.0,4.0,2.0,egal,wichtig,sehr wichtig,sehr wichtig,wichtig,egal,nicht wichtig,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,wichtig,K,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;ruhigere Arbeitsumgebung als zuhause;,K,3.0,5.0,K,bautechnikum
198,5,2021-03-12 14:29:04,2021-03-12 14:34:43,Fachschule,18-20,10,männlich,1.0,5.0,5.0,5.0,3.0,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,egal,egal,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,2.0,,bautechnikum
199,6,2021-03-12 14:28:29,2021-03-12 14:35:02,Fachschule,16-17,10,männlich,3.0,3.0,5.0,5.0,5.0,wichtig,wichtig,wichtig,wichtig,wichtig,nicht wichtig,egal,wichtig,egal,wichtig,egal,nicht wichtig,gar nicht wichtig,.,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Zusammenarbeit mit Mitschüler/innen einfacher;,.,4.0,5.0,@xxcarlosxx9029 auf Insta folgen!,bautechnikum
200,7,2021-03-12 14:28:47,2021-03-12 14:35:19,Fachschule,18-20,9,männlich,1.0,1.0,1.0,1.0,5.0,egal,wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,wichtig,egal,egal,nicht wichtig,nicht wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,1.0,1.0,,bautechnikum
201,8,2021-03-12 14:29:59,2021-03-12 14:35:19,Fachschule,16-17,10,männlich,2.0,2.0,5.0,5.0,4.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,egal,wichtig,egal,egal,Nichts,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,Nichts ,3.0,5.0,Keine,bautechnikum
202,9,2021-03-12 14:28:37,2021-03-12 14:35:21,HTL,14-15,10,weiblich,3.0,4.0,5.0,5.0,4.0,wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,wichtig,?,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,?,2.0,1.0,H,bautechnikum
203,10,2021-03-12 14:30:02,2021-03-12 14:35:41,Fachschule,16-17,10,männlich,1.0,5.0,5.0,4.0,4.0,sehr wichtig,egal,wichtig,wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,egal,sehr wichtig,wichtig,"Wenn der Unterricht kurz, schlicht und informativ gehalten ist.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,Man versteht vieles einfacher.,3.0,2.0,.,bautechnikum
204,11,2021-03-12 14:29:07,2021-03-12 14:36:18,Fachschule,16-17,10,weiblich,2.0,4.0,2.0,4.0,5.0,egal,wichtig,egal,wichtig,wichtig,nicht wichtig,egal,wichtig,wichtig,wichtig,wichtig,egal,egal,"Man muss dann nicht diesen Schulweg gehen, das ist eine Freude.",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,1.0,2.0,"Im Onlineunterricht bekomme ich manchmal nichts mit, muss dann meine Mitschüler nach etwas nachfragen. ",bautechnikum
205,12,2021-03-12 14:30:05,2021-03-12 14:36:28,Fachschule,16-17,10,männlich,4.0,5.0,5.0,2.0,3.0,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,nicht wichtig,sehr wichtig,egal,wichtig,egal,sehr wichtig,sehr wichtig,k.A.,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,k.A.,2.0,4.0,k.A.,bautechnikum
206,13,2021-03-12 14:29:54,2021-03-12 14:36:37,Fachschule,16-17,10,weiblich,1.0,2.0,5.0,5.0,1.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,wichtig,wichtig,egal,egal,egal,egal,egal,Wenn wir allgemein über unser Leben (jetzt mit Corona) reden können. ,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,1.0,,bautechnikum
207,14,2021-03-12 14:33:34,2021-03-12 14:37:03,Fachschule,14-15,11,männlich,4.0,5.0,3.0,5.0,5.0,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,.,Sonstige;,"Man kann sich besser im schule konzentrien, weil es weniger sachen gibt die einen ablenken ",1.0,5.0,A,bautechnikum
208,15,2021-03-12 14:30:11,2021-03-12 14:39:22,HTL,16-17,10,männlich,3.0,4.0,5.0,4.0,5.0,egal,wichtig,sehr wichtig,wichtig,nicht wichtig,egal,egal,wichtig,egal,nicht wichtig,nicht wichtig,nicht wichtig,wichtig,"Wenn ich spaß mit meinen Freunde in Meetings habe.
Wenn ich über interessanten Themen in Onlineunterricht spreche.",keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;Sonstige;,"Angenehmer Platz, als Zuhause
",4.0,2.0,"Ich finde der Onlineunterricht recht gut, aber ich wünsche, ich wäre mehr in der Schule (BSP.: eine Woche in der Schule zu kommen)",bautechnikum
209,16,2021-03-12 14:33:45,2021-03-12 14:39:42,Fachschule,16-17,11,männlich,4.0,5.0,5.0,4.0,3.0,sehr wichtig,wichtig,egal,sehr wichtig,wichtig,nicht wichtig,egal,wichtig,gar nicht wichtig,egal,wichtig,nicht wichtig,nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,2.0,,bautechnikum
210,17,2021-03-12 14:31:19,2021-03-12 14:40:27,Fachschule,16-17,10,weiblich,2.0,4.0,3.0,5.0,5.0,egal,gar nicht wichtig,wichtig,sehr wichtig,wichtig,egal,nicht wichtig,wichtig,gar nicht wichtig,egal,egal,wichtig,wichtig,"Über mehrere Themen, die von Schülern geäußert werden, besprechen ",direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,2.0,,bautechnikum
211,1,2021-03-12 12:05:45,2021-03-12 12:09:36,Tageskolleg,18-20,>13,männlich,2.0,5.0,2.0,5.0,5.0,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,nicht wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,1.0,5.0,,bautechnikum
